"_id",skill
5ac8ec92c0c6f6443805dca6,chart js
5ac8ec9fc0c6f6443805dca7,d3 js
5ac8ecacc0c6f6443805dca8,theano
5ac8ecbdc0c6f6443805dca9,keras
5ac8eccec0c6f6443805dcaa,pytorch
5ac8ecd8c0c6f6443805dcab,nosql
5ac8eda9c0c6f6443805dcb0,waterfall
5ac8edb0c0c6f6443805dcb1,cucumber
5ac8edb9c0c6f6443805dcb2,postgres
5ac8edd6c0c6f6443805dcb3,orientdb
5ac8ede5c0c6f6443805dcb4,neo4j
5ac8edf2c0c6f6443805dcb5,travis ci
5ac8ee01c0c6f6443805dcb6,circleci
5ac8ee0ec0c6f6443805dcb7,mllib
5ac8ee44c0c6f6443805dcb8,nltk
5ac8ef25c0c6f6443805dcb9,spacy
5ac8ef32c0c6f6443805dcba,teradata
5ac8ef82c0c6f6443805dcbb,h2o
5ac8ef93c0c6f6443805dcbd,pandas
5ac8efa2c0c6f6443805dcbe,php
5ac8f035c0c6f6443805dcbf,docker
5ac8f097c0c6f6443805dcc0,docker swarm
5ac8f0a6c0c6f6443805dcc1,openshift
5ac8f0b2c0c6f6443805dcc2,ansible
5ac8f0cbc0c6f6443805dcc3,puppet
5ac8f0d1c0c6f6443805dcc4,chef
5ac8f0d7c0c6f6443805dcc5,cinder
5ac8f0e3c0c6f6443805dcc6,ceph
5ac8f0e9c0c6f6443805dcc7,maven
5ac8f10dc0c6f6443805dcc8,t-sql
5ac8f120c0c6f6443805dcca,pivotal
5ac8f127c0c6f6443805dccb,urbancode
5ac8f16cc0c6f6443805dccd,vuejs
5ac8f175c0c6f6443805dcce,postgresql
5ac8f1bcc0c6f6443805dccf,cassandra
5ac8f1cdc0c6f6443805dcd0,azure
5ac8f2a1c0c6f6443805dcd1,jpa
5ac8f2bbc0c6f6443805dcd2,hibernate
5ac8f2f9c0c6f6443805dcd4,maxscript
5ac8f31ec0c6f6443805dcd5,jsoup
5ac8f328c0c6f6443805dcd6,maya
5ac8f338c0c6f6443805dcd7,unity
5ac8f343c0c6f6443805dcd8,unreal engine
5ac8f350c0c6f6443805dcd9,adobe creative cloud
5ac8f3cfc0c6f6443805dcda,steamworks
5ac8f412c0c6f6443805dcdb,perforce
5ac8f48ec0c6f6443805dcdd,mxnet
5ac8f49bc0c6f6443805dcde,lua
5ac8f4a2c0c6f6443805dcdf,kaggle
5ac8f4d5c0c6f6443805dce0,yarn
5ac8f4e0c0c6f6443805dce1,samza
5ac8f51ac0c6f6443805dce2,cron
5ac8f581c0c6f6443805dce3,fraud management
5ac8f5d3c0c6f6443805dce4,big data
5ac8f5eec0c6f6443805dce5,wpf
5ac8f5f9c0c6f6443805dce6,web/dbs
5ac8f608c0c6f6443805dce8,natural language processing
5ac8f65ec0c6f6443805dce9,corenlp
5ac8f66dc0c6f6443805dcea,scikit
5ac8f679c0c6f6443805dceb,tensorflow
5ac8f683c0c6f6443805dcec,scipy
5ac8f690c0c6f6443805dced,stata
5ac8f6cbc0c6f6443805dcee,pig
5ac8f6d5c0c6f6443805dcef,tableau
5ac8f722c0c6f6443805dcf0,microstrategy
5ac8f72ec0c6f6443805dcf1,google protocol buffers
5ac8f754c0c6f6443805dcf2,code collaborator
5ac8f767c0c6f6443805dcf3,sip
5ac8f772c0c6f6443805dcf4,gradle
5ac8f7afc0c6f6443805dcf5,perl
5ac8f7bbc0c6f6443805dcf6,yocto
5ac8f7fdc0c6f6443805dcf7,netconf/yang
5aca55fe78b4494cfca797cd,pl sql
5aca562a78b4494cfca797ce,pl/sql
5acadadbf6e81974c6ef5711,pl-sql
5acadae5f6e81974c6ef5712,subversion
5acadb49f6e81974c6ef5714,jira
5acae8ecf6e81974c6ef5715,jboss
5acaea25f6e81974c6ef5716,angular js
5acaf638f6e81974c6ef5717,jsf
5acaf658f6e81974c6ef5718,spring
